Date,Start Time,End Time,Event,Description
2026-08-12,,,Skirious Problems Ski Camp,"Come out to Soldier Hollow for two days of world-class cross-country coaching, real talk and hands-on training – built by athletes, for the next generation. Hosted by Olympians and World Cup athletes James Clugnet & Mika Vermeulen."
2026-08-15,,,"Utah High School Cycling League – Region 1, Race 1 – August 15, 2026","Soldier Hollow welcomes the Utah High School Cycling League’s Region 1 race at Soldier Hollow on August 15. UHSCL is an affiliate league of NICA, with races for all abilities from 7th grade to Varsity for boys and girls. Pre-ride information is below. For all information about this event, please visit www.utahmtb.org . REGISTER HERE"
2026-08-22,,,"Utah High School Cycling League – Region 3, Race 1 – August 22, 2026","Soldier Hollow welcomes the Utah High School Cycling League’s Region 3 race at Soldier Hollow on August 22. UHSCL is an affiliate league of NICA, with races for all abilities from 7th grade to Varsity for boys and girls. Pre-ride information is below. For all information about this event, please visit www.utahmtb.org . REGISTER HERE"
2026-08-28,,,Ragnar Trail Soldier Hollow,Conquer the ridgelines of Soldier Hollow with sweeping views of Mount Timpanogos and Deer Creek Reservoir. Grab your team and register at the link below!
2026-09-11,,,Mamele Mountain Run,"This race is for YOU Get ready to lace up for Mamele Mountains, an exhilarating 8-mile trail run exclusively for women, winding through some of the country’s most breathtaking landscapes. Set in the stunning terrain of Midway UT, this race is crafted for women at all levels who are eager for a true adventure. For more information, visit https://mamelemountains.com/ Register Here"
2026-09-19,,,Whoop UCI Mountain Bike World Series Presented by Scott Sports,"The world is coming to Soldier Hollow September 19 and 20 for the Whoop UCI Mountain Bike World Series Presented by Scott Sports! The track is slated to provide lots of entertainment, with plenty of multiline sections and natural rock features. Soldier Hollow is also uniquely spectator-friendly, so you won’t want to miss the chance to watch the action from up close. Please visit the official event website for tickets and details not found here. Event Website"
2026-10-09,,,"USBA Fall Camp & Schutzenski Festival #1- October 9-11, 2026","Schutzenski Festival returns to Soldier Hollow Nordic Center this October. Once again, we will have two whole weekends of fun! More event information coming soon. October 9-11 for Biathlon Oct 16-18 for Cross Country + Trail Running Race"
2026-10-16,,,"XC & Trail Run Schutzenski Festival – October 16-18, 2025","Schutzenski Festival returns to Soldier Hollow Nordic Center this October. Once again, we will have two race weekends for twice the fun! More information coming soon. October 9-11 for Biathlon Oct 16-18 for Cross Country + Trail Running Race"
